Day,Period,Class,Subject,Teacher Code
Thu,8,9 B,Physics,T02
Thu,8,10 A,Hindi,T07
Thu,8,10 B,English,T06
Fri,1,8 A,Hindi,T07
Fri,1,8 B,Chemistry,T04
Fri,1,9 A,Mathematics,T01
Fri,1,9 B,Biology,T03
Fri,1,10 A,Social Science,T09
Fri,1,10 B,Malayalam,T08
Fri,2,8 A,Chemistry,T03
Fri,2,8 B,Computer Science,T10
Fri,2,9 A,Physics,T02
Fri,2,9 B,English,T06
Fri,2,10 A,Physical Education,T11
Fri,2,10 B,Social Science,T09
Fri,3,8 A,Computer Science,T10
Fri,3,8 B,Physical Education,T11
Fri,3,9 A,Chemistry,T03
Fri,3,9 B,Malayalam,T08
Fri,3,10 A,Mathematics,T01
Fri,3,10 B,Physics,T02
Fri,4,8 A,Physical Education,T11
Fri,4,8 B,Mathematics,T10
Fri,4,9 A,Biology,T04
Fri,4,9 B,Social Science,T12
Fri,4,10 A,Physics,T02
Fri,4,10 B,Biology,T03
Fri,5,8 A,Mathematics,T01
Fri,5,8 B,English,T06
Fri,5,9 A,English,T05
Fri,5,9 B,Computer Science,T10
Fri,5,10 A,Chemistry,T03
Fri,5,10 B,Malayalam,T08
Fri,6,8 A,English,T05
Fri,6,8 B,Physics,T02
Fri,6,9 A,Hindi,T07
Fri,6,9 B,Physical Education,T11
Fri,6,10 A,Biology,T04
Fri,6,10 B,Social Science,T09
Fri,7,8 A,Physics,T02
Fri,7,8 B,Biology,T03
Fri,7,9 A,Social Science,T09
Fri,7,9 B,Chemistry,T04
Fri,7,10 A,English,T05
Fri,7,10 B,Computer Science,T10
Fri,8,8 A,Biology,T04
Fri,8,8 B,Social Science,T09
Fri,8,9 A,Computer Science,T10
Fri,8,9 B,Biology,T03
Fri,8,10 A,Hindi,T07
Fri,8,10 B,Physical Education,T11
Sat,1,8 A,Social Science,T09
Sat,1,8 B,Malayalam,T08
Sat,1,9 A,Physical Education,T11
Sat,1,9 B,English,T06
Sat,1,10 A,Computer Science,T10
Sat,1,10 B,Mathematics,T01
Sat,2,8 A,Hindi,T07
Sat,2,8 B,Chemistry,T04
Sat,2,9 A,Mathematics,T01
Sat,2,9 B,Malayalam,T08
Sat,2,10 A,Physical Education,T11
Sat,2,10 B,Physics,T02
Sat,3,8 A,Chemistry,T03
Sat,3,8 B,Computer Science,T10
Sat,3,9 A,Physics,T02
Sat,3,9 B,Social Science,T12
Sat,3,10 A,Mathematics,T01
Sat,3,10 B,Chemistry,T04
Sat,4,8 A,Computer Science,T10
Sat,4,8 B,Physical Education,T11
Sat,4,9 A,Chemistry,T03
Sat,4,9 B,Mathematics,T02
Sat,4,10 A,Biology,T04
Sat,4,10 B,English,T06
Sat,5,8 A,Physical Education,T11
Sat,5,8 B,Mathematics,T10
Sat,5,9 A,Biology,T04
Sat,5,9 B,Physics,T02
Sat,5,10 A,English,T05
Sat,5,10 B,Malayalam,T08
Sat,6,8 A,Mathematics,T01
Sat,6,8 B,English,T06
Sat,6,9 A,English,T05
Sat,6,9 B,Chemistry,T04
Sat,6,10 A,Hindi,T07
Sat,6,10 B,Social Science,T09
Sat,7,8 A,English,T05
Sat,7,8 B,Physics,T02
Sat,7,9 A,Hindi,T07
Sat,7,9 B,Biology,T03
Sat,7,10 A,Social Science,T09
Sat,7,10 B,Computer Science,T10
Sat,8,8 A,Physics,T02
Sat,8,8 B,Biology,T03
Sat,8,9 A,Social Science,T09
Sat,8,9 B,English,T06
Sat,8,10 A,Computer Science,T10
Sat,8,10 B,Physical Education,T11
